fullname,nickname,year,make,model,specialAccess,dlcPack,rewardOrGift,directAccess,carValue,rarity,feBoost,carType,spec,class,pi,speed,handling,acceleration,launch,braking,offroad,hp,torque,weight,weightPerHp,weightDistribution,displ,aspiration,engineType,cylinders,enginePlacement,drive,rTireWidth,trackWidth,aeroorkitOptions,engineConversions(hp),pirwd,piawd,aspirationOptions,naturallyAspirated,region,country,modelFamily,openTop,doors,steering,wheels,nolights,carThemes,zeroToSixty,zeroToHundred,quarterMile,topSpeed,sixtyToZeroFeet,hundredToZeroFeet,gAtSixty,gAtHundred,sixtyToHundred,forzaDebut,unknown,latestgame,newtoForza,fh5,fh4,fm7,fh3,fm6,fh2,fm5,fh1,fm4,fm3,fm2,fm1,titlesCount,xboxgen
1994 Honda Do-Luck NSX,,1994,Honda,Do-Luck NSX,,,,,,,,,Tuner,B,604,,,,,,,,,,#DIV/0!,,,,,,M,RWD,,,,,,,,,Asia,Japan,,,2,R,4,,,,,,,,,,,,5/29/2007,2,FM2,FM2,,,,,,,,,,,FM2,,1,360
1994 Honda Prelude Si,Honda Prelude 94,1994,Honda,Prelude Si,Autoshow,,,,20000,Common,,Retro Hot Hatch,Factory,C,521,5,4.7,3.7,3.1,3.1,5.4,160,156,2870,17.94,62,2259,NA,Inline,4,F,FWD,205,Yes,Forza,"321, 212, 300",,,"T, PDS",stock,Asia,Japan,,,2,L,4,,,7.2,20.7,15.8,137,145.7,373.6,0.88,0.89,13.5,,6,FH5,FM5,FH5,cu,FM7,,FM6,,cu,,,,,,5,XBO
1992 Honda NSX-R,Honda NSX-R '92,1992,Honda,NSX-R,Autoshow,,,,90000,Epic,,Retro Sports Cars,Factory,B,691,6.2,6.1,4.9,3.8,4.3,4.6,276,217,2712,9.83,42,2977,NA,V,6,M,RWD,225,no,Preset / WB,"321, 415, 300",,,"TT, PDS, CS",stock,Asia,Japan,NSX,,2,R,4,,MvT,4.7,11.6,13,171,127.7,315.9,1.07,1.13,6.9,5/3/2005,1,FH5,FM1,FH5,FH4,FM7,FH3,FM6,FH2,FM5,,FM4,FM3,FM2,FM1,11,XBO
1991 Honda CR-X SiR,Honda CR-X,1991,Honda,CR-X SiR,Autoshow,,,,20000,Common,,Retro Hot Hatch,Factory,C,534,5.1,5.1,3.2,2.3,2.9,5.4,158,112,2161,13.68,62,1595,NA,Inline,4,F,FWD,195,no,Aftermarket,"212, 300",,,"T, PDS, CS",stock,Asia,Japan,Civic,,3,R,4,,RPC,7.185,20.7,15.483,142,181.9,456.5,0.81,0.8,13.515,5/3/2005,1,FH5,FM1,FH5,FH4,FM7,,FM6,DLC,,Uni,FM4,FM3,FM2,FM1,10,XBO
1986 Honda Civic Si,Honda Civic '86,1986,Honda,Civic Si,,,,,,,,Hot Hatch Genesis,Factory,E,241,4.1,3.8,5.2,,3.6,,91,93,1955,21.48,61,,NA,Inline,4,F,FWD,,,,,,,,stock,Asia,Japan,Civic,,3,L,4,,,9.1,96.3,,109.4,118.1,318.6,0.99,0.89,87.2,,5,FM7,FH1,,,FM7,,FM6,cu,,DLC,,,,,4,XBO
1984 Honda Civic CRX Mugen,Honda Civic '84,1984,Honda,Civic CRX Mugen,Seasonal,,,,40000,Epic,,Retro Hot Hatch,Tuner,D,499,4.8,4.7,3,1.8,2.6,4.6,120,92,1819,15.16,62,1488,NA,Inline,4,F,FWD,205,Both,Forza,"212, 182, 306, 415, 300",,,"T, PDS",stock,Asia,Japan,Civic,,3,L,4,,MvT,7.9,24,15.9,134.7,160.5,398.4,0.87,0.87,16.1,,6,FH5,FM5,FH5,cu,FM7,,,FH2,cu,,,,,,5,XBO
1974 Honda Civic RS,Honda Civic '74,1974,Honda,Civic RS,Autoshow,,,,25000,Common,,Retro Hot Hatch,Factory,D,368,3.9,4.2,2.4,3,2.4,5.1,76,75,1620,21.32,60,1169,NA,Inline,4,F,FWD,155,Both,Preset / WB,"212, 182, 306, 415, 300",,,"T, PDS",stock,Asia,Japan,,,3,R,4,,RPC,9.634,46.047,,109.2,164.8,419.8,0.81,0.82,36.413,11/20/2018,11,FH5,FH4,FH5,DLC,,,,,,,,,,,2,XBO
1970 Honda S800,Honda S800,1970,Honda,S800,Exclusive,,,,250000,Rare,,Cult Cars,Factory,D,193,4.7,4,5.3,6.8,3.9,,70,48,1565,22.36,50,791,NA,Inline,4,F,RWD,155,Both,Forza,"212, 196, 300",193,229,"T, PDS",stock,Asia,Japan,,Yes,2,L,4,,RPC,13.6,123.2,,102.7,213.2,508.8,0.68,0.67,109.6,,9,FH4,FH3,,cu,FM7,DLC,,,,,,,,,3,XBO
1967 Honda RA300,Honda RA300,1967,Honda,RA300,,,,,,,,Open Wheel Legends,Race,S,767,7.4,5.9,9.2,,5.6,,420,221,1301,3.1,36,,NA,V,12,M,RWD,,,,,,,,stock,Asia,Japan,,Yes,2,C,4,,,2.9,5.881,,201.7,89,232.7,1.31,1.28,2.981,,8,FM7,FM6,,,FM7,,DLC,,,,,,,,2,XBO
2017 Hoonigan Gymkhana 10 Ford Fiesta ST,Hoonigan Fiesta,2017,Hoonigan,Gymkhana 10 Ford Fiesta ST,Exclusive,,,,500000,Legendary,,Rally Monsters,Tuner,S1,828,5.7,8.2,9,10,8.4,,375,332,2800,7.47,53,1600,T,Inline,4,F,AWD,245,no,Adjustable,300,820,828,none,,N. America,U.S.,,,3,L,4,,,3.367,8.367,,136.7,141.3,321.3,1.09,1.22,5,11/20/2018,11,FH4,FH4,,cu,,,,,,,,,,,1,XBO
2016 Hoonigan Gymkhana 10 Ford Focus RS RX,Gymkhana 10 Focus,2016,Hoonigan,Gymkhana 10 Ford Focus RS RX,"Accolade, WS",,Accolade,,500000,Epic,,Rally Monsters,Livery,S1,864,5.1,5.7,9.2,10,6.4,7.2,600,663,2491,4.15,60,1988,T,Inline,4,F,AWD,225,no,Adjustable,300,,,none,,N. America,U.S.,,,3,L,4,,,1.9,5,,142.2,130.6,309.3,1.08,1.19,3.1,11/20/2018,11,FH5,FH4,FH5,cu,,,,,,,,,,,2,XBO
2016 Hoonigan Gymkhana 9 Ford Focus RS RX,Hoonigan Focus,2016,Hoonigan,Gymkhana 9 Ford Focus RS RX,,,,,500000,Legendary,,Rally Monsters,Tuner,S1,886,5.9,7.9,10,10,8.5,,600,663,2491,4.15,60,1988,T,Inline,4,F,AWD,225,no,Adjustable,300,na,886,none,no,N. America,U.S.,Focus,,3,L,4,,"FF, OR",1.9,5,9.85,142.2,130.5,309.2,1.08,1.19,3.1,12/13/2016,9,FH4,FH3,,FH4,FM7,DLC,,,,,,,,,3,XBO
"2016 Hoonigan Gymkhana 9 Ford Focus RS RX ""Welcome Pack""",Focus RS RX WP,2016,Hoonigan,"Gymkhana 9 Ford Focus RS RX ""Welcome Pack""",DLC store,,,,500000,Legendary,,Rally Monsters,Upgraded,S1,900,6.6,8.1,10,10,8.6,,600,663,2491,4.15,60,1988,T,Inline,4,F,AWD,225,no,Adjustable,300,861,900,none,,N. America,U.S.,Focus,,3,L,4,,,1.9,5,,165.9,123.9,300.3,1.09,1.21,3.1,7/28/2020,11,FH4,FH4,,DLC,,,,,,,,,,,1,XBO
2015 Hoonigan Gymkhana 8 Ford Fiesta ST RX43,Fiesta ST RX43,2015,Hoonigan,Gymkhana 8 Ford Fiesta ST RX43,DLC store,,,,500000,Legendary,,Rally Monsters,Tuner,S1,885,5.8,7.8,10,10,8.1,,600,663,2746,4.58,54,1988,TT,Inline,4,F,AWD,245,no,Adjustable,300,862,885,none,no,N. America,U.S.,,,3,L,4,,,1.8,4.4,,137.4,136.6,321.1,1.08,1.18,2.6,12/13/2018,11,FH4,FH4,,DLC,,,,,,,,,,,1,XBO
2003 Hoonigan Holden Commodore Ute,,2003,Hoonigan,Holden Commodore Ute,,,,,,,,Hoonigan,Tuner,A,656,7.4,5.1,8.4,,4.9,,576,604,3320,5.76,55,,CS,V,8,F,RWD,,,,,,,,no,N. America,U.S.,,,2,L,4,,,3.4,7.3,,202.6,129.1,321,1.17,1.13,3.9,8/10/2017,10,FM7,FM7,,,DLC,,,,,,,,,,1,XBO
1994 Hoonigan Ford Escort RS Cosworth WRC 'Cossie V2',Hoonigan Cossie,1994,Hoonigan,Ford Escort RS Cosworth WRC 'Cossie V2',Autoshow,,,,500000,Epic,,Rally Monsters,Factory,A,783,5.5,6.1,7.7,4,5.9,7.4,371,368,2822,7.61,52,1990,,,,F,AWD,,,none,"526, 850, 1000, 914",,,"T, TT, PDS",stock,N. America,U.S.,,Yes,2,L,4,,,7.028,14.022,,137.2,237.5,465.2,0.86,0.85,6.994,11/5/2021,12,FH5,FH5,FH5,,,,,,,,,,,,1,XBO
1992 Hoonigan Mazda RX-7 Twerkstallion,Twerkstallion,1992,Hoonigan,Mazda RX-7 Twerkstallion,"Car Mastery, Seasonal",,,,50000,Epic,,Drift Cars,Tuner,A,799,8.3,5.8,4.6,4.7,4.5,3.8,600,590,2866,4.78,53,5328,T,V,8,F,RWD,265,no,Forza,"200, 690",,,none,eng,N. America,U.S.,RX,,2,L,4,,OR,4.093,8.09,11.75,228.6,114.4,274.2,1.26,1.3,3.997,8/15/2017,9,FH5,FH3,FH5,FH4,DLC,DLC,,,,,,,,,4,XBO
1991 Hoonigan Gymkhana 10 Ford Escort Cosworth Group A,Hoonigan Group A,1991,Hoonigan,Gymkhana 10 Ford Escort Cosworth Group A,Autoshow,,,,500000,Epic,,Rally Monsters,Tuner,S1,862,7.8,6.2,9.1,8.7,5.3,7.6,620,600,2690,4.34,55,1994,T,Inline,4,F,AWD,225,no,none,300,,,none,,N. America,U.S.,,,2,L,4,,,2.516,5.246,,205.8,137,335.3,1.04,1.11,2.73,10/23/2018,11,FH5,FH4,FH5,DLC,,,,,,,,,,,2,XBO
1991 Hoonigan Rauh-Welt Begriff Porsche 911 Turbo,Hoonigan Porsche,1991,Hoonigan,Rauh-Welt Begriff Porsche 911 Turbo,"Car Mastery, Seasonal",,,,160000,Rare,,Retro Supercars,Tuner,S1,811,6.7,7.7,7.2,4.1,5.3,4,385,400,2976,7.73,40,3299,T,Flat,6,R,RWD,315,no,Adjustable,"493a, 493",,,TT,eng,N. America,U.S.,,,2,L,4,,OR,4.1,9.8,12.033,181,119.9,290.8,1.22,1.37,5.7,8/15/2017,9,FH5,FH3,FH5,HTF,DLC,DLC,,,,,,,,,4,XBO
1986 Hoonigan Ford RS200 Evolution,Hoonigan RS200,1986,Hoonigan,Ford RS200 Evolution,Autoshow,,,,500000,Epic,,Rally Monsters,Tuner,S2,904,7.6,6.5,9.5,5.1,5.3,8.3,750,590,2494,3.33,50,2137, T,Inline,4,M,AWD,275,no,Forza,"300, 850",,,none,eng,N. America,U.S.,,,2,L,4,,,2.6,4.917,,212.7,100.4,250,1.22,1.36,2.317,12/20/2018,11,FH5,FH4,FH5,cu,,,,,,,,,,,2,XBO
"1979 Hoonigan Baldwin Motorsports ""Loki"" K5 Blazer",Baldwin Blazer,1979,Hoonigan,"Baldwin Motorsports ""Loki"" K5 Blazer",,,,,,,,,Tuner,,,,,,,,,,,,,,,,,,,,,,,,,,,,N. America,U.S.,,,3,L,4,,,,,,,,,,,,,9,FH3,FH3,,,,DLC,,,,,,,,,1,XBO
1978 Hoonigan Ford Escort RS1800,Hoonigan Escort,1978,Hoonigan,Ford Escort RS1800,Autoshow,,,,300000,Epic,,Rally Monsters,Tuner,S1,820,6.2,6.7,5.7,6.1,6.3,4.2,333,246,1846,5.54,54,2548,NA,Inline,4,F,RWD,345,no,Rally lights,415,,,T,stock,N. America,U.S.,,,2,L,4,,OR,4.284,10.1,11.8,171.5,104.3,250,1.15,1.25,5.816,8/15/2017,9,FH5,FH3,FH5,FH4,DLC,DLC,,,,,,,,,4,XBO
1977 Hoonigan Gymkhana 10 Ford F-150 'Hoonitruck',Hoonigan F-150,1977,Hoonigan,Gymkhana 10 Ford F-150 'Hoonitruck',Autoshow,,,,500000,Epic,,Drift Cars,Tuner,S1,896,6.2,6.5,7.9,8.7,6.7,5.7,914,702,3210,3.51,57,3500,TT,V,6,F,AWD,315,no,none,914,,,none,no,N. America,U.S.,,,2,L,4,,,2.5,5.017,,172.2,107.9,269.2,1.22,1.3,2.517,10/23/2018,11,FH5,FH4,FH5,DLC,,,,,,,,,,,2,XBO
1974 Hoonigan Ford Bronco,Hoonigan Bronco,1974,Hoonigan,Ford Bronco,Exclusive,,,,200000,Epic,,Offroad,Factory,A,721,5.8,6.5,8.4,10,6.2,,435,400,3705,8.52,54,4951,NA,V,8,F,AWD,315,no,none,"526, 850, 1000, 914",722,721,"T, TT, PDS",stock,N. America,U.S.,,Yes,2,L,4,,,7.028,14.022,,137.2,237.5,465.2,0.86,0.85,6.994,12/8/2020,11,FH4,FH4,,cu,,,,,,,,,,,1,XBO
1972 Hoonigan Chevrolet Napalm Nova,Hoonigan Nova,1972,Hoonigan,Chevrolet Napalm Nova,Autoshow,,,,50000,Rare,,Classic Muscle,Tuner,A,731,6.7,5.2,5,5.3,4.7,5,475,520,3566,7.51,55,7439,NA,V,8,F,RWD,295,Both,Hood,"640, 700",,,"TT, PDS",stock,N. America,U.S.,,,2,L,4,,"OR, ?MvT",4.113,9.716,12.55,185.8,161.3,369.9,0.92,0.92,5.603,8/15/2017,9,FH5,FH3,FH5,HTF,DLC,DLC,,,,,,,,,4,XBO
"1965 Hoonigan Ford ""Hoonicorn"" Mustang",Hoonicorn,1965,Hoonigan,"Ford ""Hoonicorn"" Mustang",Autoshow,,,,500000,Epic,,Drift Cars,Tuner,S2,951,9.2,6.7,10,7.4,5.9,5.5,1400,1200,2998,2.14,50,6718,TT,V,8,F,AWD,295,no,none,none,,,none,no,N. America,U.S.,Mustang,,2,L,4,,OR,1.8,3.15,8.45,253.3,123.8,288.8,1.22,1.3,1.35,8/15/2017,9,FH5,FH3,FH5,FH4,DLC,DLC,,,,,,,,,4,XBO
1965 Hoonigan Gymkhana 10 Ford Hoonicorn Mustang,Hoonicorn V2,1965,Hoonigan,Gymkhana 10 Ford Hoonicorn Mustang,Seasonal,,,,500000,Epic,,Drift Cars,Livery,S2,952,8.8,6.6,10,7.7,5.9,5.4,1400,1200,2998,2.14,50,6718,TT,V,8,F,AWD,295,no,none,none,,,none,no,N. America,U.S.,Mustang,,2,L,4,,OR,1.8,3.15,,243.4,120.3,286.8,1.22,1.3,1.35,10/23/2018,11,FH5,FH4,FH5,cu,,,,,,,,,,,2,XBO
1955 Hoonigan Chevrolet Bel Air,Hoonigan Bel Air,1955,Hoonigan,Chevrolet Bel Air,Autoshow,,Accolade,,76000,Rare,,Rods and Customs,Tuner,B,621,5.7,3.8,4.1,3.1,3,6.4,410,390,3567,8.7,57,5822,NA,V,8,F,RWD,275,Front,Hood,"415, 475, 425, 640, 800, 1500, 1750",,,"TT, PDS",stock,N. America,U.S.,,,2,L,4,,OR,6.211,13.101,13.033,157.8,167.9,415.6,0.82,0.81,6.89,8/15/2017,9,FH5,FH3,FH5,FH4,DLC,DLC,,,,,,,,,4,XBO
2018 Hot Wheels 2JetZ,2JetZ,2018,Hot Wheels,2JetZ,DLC store,,,,100000,Legendary,,Rods and Customs,Tuner,S1,889,7.2,8,8.3,9.7,8.3,,639,636,1740,2.72,43,2997,T,Inline,6,M,RWD,275,no,none,475,889,920,none,eng,N. America,U.S.,,,1,C,4,,,3.6,6.169,,184.4,104.4,253.6,1.37,1.44,2.569,2/22/2021,11,FH4,FH4,,DLC,,,,,,,,,,,1,XBO
2012 Hot Wheels Rip Rod,Rip Rod,2012,Hot Wheels,Rip Rod,Exclusive,,,,300000,Legendary,,Offroad Buggies,Tuner,A,747,6.2,6.4,7.3,8.9,6.3,,205,206,1874,9.14,45,999,NA,Inline,2,M,RWD,215,no,Forza,"300, 475",747,754,T,stock,N. America,U.S.,,,1,C,4,,,6.077,15.593,13.567,150,149.3,369.4,0.84,0.84,9.516,,9,FH4,FH3,,cu,cu,DLC,,,,,,,,,3,XBO
2011 Hot Wheels Bone Shaker,Bone Shaker,2011,Hot Wheels,Bone Shaker,Autoshow,,Accolade,,150000,Legendary,,Rods and Customs,Tuner,A,790,6,5.2,5.7,6.2,4.9,4.2,402,398,2205,5.49,65,5740,NA,V,8,F,RWD,375,no,Forza,"475, 800, 850",,,none,stock,N. America,U.S.,,,2,L,4,,,3.985,8.962,12.717,165.8,118.3,287.3,1.11,1.13,4.977,,8,FH5,FM6,FH5,cu,cu,DLC,DLC,,,,,,,,5,XBO
2005 Hot Wheels Ford Mustang,HW Ford Mustang,2005,Hot Wheels,Ford Mustang,Exclusive,,,,300000,Legendary,,Extreme Track Toys,Tuner,S1,841,8.2,10,10,8.5,9.7,,504,458,3300,6.55,55,5812,PDS,V,8,F,RWD,295,no,Adjustable,"526, 850",841,850,none,eng,N. America,U.S.,Mustang,,2,L,4,,,4.5,9.35,12.7,174.7,108.1,241.9,1.4,1.63,4.85,,8,FH4,FM6,,cu,cu,DLC,DLC,,,,,,,,4,XBO
1972 Hot Wheels Chevrolet LUV,Hot Wheels LUV,1972,Hot Wheels,Chevrolet LUV,DLC store,,,,100000,Legendary,,Rods and Customs,Tuner,B,663,6.1,5.2,7,8.2,5.4,,400,500,3200,8,28,6425,PDS,V,8,M,RWD,275,Front,none,"415, 640, 850",663,660,none,eng,N. America,U.S.,,Yes,2,L,4,,,5.3,12.6,,147.2,159,402.2,0.81,0.81,7.3,2/22/2021,11,FH4,FH4,,DLC,,,,,,,,,,,1,XBO
1970 Hot Wheels Chevrolet Corvette ZR-1 50th Anniversary Original Version,,1970,Hot Wheels,Chevrolet Corvette ZR-1 50th Anniversary Original Version,,,,,,,,Forza Specials,Tuner,,,,,,,,,461,558,3483,7.56,51,,NA,V,8,F,RWD,,,,,,,,,N. America,U.S.,,,2,L,4,,,,,,,,,,,,,10,FM7,FM7,,,cu,,,,,,,,,,1,XBO
1969 Hot Wheels Chevrolet Camaro Super Sport Coupe 50th Anniversary Original Version,,1969,Hot Wheels,Chevrolet Camaro Super Sport Coupe 50th Anniversary Original Version,,,,,,,,Forza Specials,Tuner,,,,,,,,,460,465,3320,7.22,56,,NA,V,8,F,RWD,,,,,,,,,N. America,U.S.,,,2,L,4,,,,,,,,,,,,,10,FM7,FM7,,,cu,,,,,,,,,,1,XBO
1969 Hot Wheels International-Harvester Loadstar C0-1600,Hot Wheels C0,1969,Hot Wheels,International-Harvester Loadstar C0-1600,DLC store,,,,100000,Legendary,,Rods and Customs,Tuner,C,563,5.2,5.2,6,7,6.1,,485,432,2998,6.18,51,5822,PDS,V,8,M,RWD,315,no,Forza,"526, 850",563,587,none,eng,N. America,U.S.,,,2,L,4,,,3.888,10.888,,112.2,155.1,364.9,0.82,0.81,7,2/22/2021,11,FH4,FH4,,DLC,,,,,,,,,,,1,XBO
1969 Hot Wheels Twin Mill,Twin Mill,1969,Hot Wheels,Twin Mill,"WS, Seasonal",,,,110000,Legendary,,Rods and Customs,Tuner,A,798,8.6,5.2,4.9,5.2,4.5,3.8,1401,1400,4696,3.35,57,16453,PDS,V,16,F,RWD,305,no,Forza,none,,,none,no,N. America,U.S.,,,2,L,4,,Heavy,2.508,5.31,11.367,231.2,167.1,372.7,0.98,0.99,2.802,5/9/2017,9,FH5,FH3,FH5,cu,cu,DLC,,,,,,,,,4,XBO
1963 Hot Wheels Volkswagen Beetle 50th Anniversary Original Version,,1963,Hot Wheels,Volkswagen Beetle 50th Anniversary Original Version,,,,,,,,Forza Specials,Tuner,,,,,,,,,165,162,1760,10.67,43,,NA,Flat,4,R,RWD,,,,,,,,,N. America,U.S.,,,2,L,4,,,,,,,,,,,,,10,FM7,FM7,,,cu,,,,,,,,,,1,XBO
1957 Hot Wheels Nash Metropolitan Custom,Hot Wheels Metro,1957,Hot Wheels,Nash Metropolitan Custom,DLC store,,,,100000,Legendary,,Rods and Customs,Tuner,C,559,6.4,4.7,5.2,6.6,4.5,,350,400,2250,6.43,55,5001,NA,V,8,F,RWD,165,no,Forza,"415, 850",559,649,none,stock,N. America,U.S.,,,2,L,4,,,5.1,10.9,,151.6,202.4,492.5,0.73,0.72,5.8,2/22/2021,11,FH4,FH4,,DLC,,,,,,,,,,,1,XBO
1957 Hot Wheels Studebaker Golden Hawk 'Dream Roadster',HW Studebaker,1957,Hot Wheels,Studebaker Golden Hawk 'Dream Roadster',DLC store,,,,100000,Legendary,,Rods and Customs,Tuner,A,701,6.2,5.3,6.3,7.6,5.9,,528,510,3362,6.37,50,4601,NA,V,8,F,RWD,295,no,Forza,"415, 640",701,723,"TT, PDS",eng,N. America,U.S.,,Yes,2,L,4,,,4,8.7,,148.8,160.3,384.1,0.84,0.84,4.7,2/22/2021,11,FH4,FH4,,DLC,,,,,,,,,,,1,XBO
1949 Hot Wheels Ford F-5 Dually Custom Hot Rod,HW Dually '49,1949,Hot Wheels,Ford F-5 Dually Custom Hot Rod,DLC store,,,,100000,Legendary,,Rods and Customs,Tuner,B,634,5.6,6.5,7,8.7,5.7,,400,687,4660,11.65,52,7275,T,V,8,F,RWD,475,no,none,850,634,652,none,eng,N. America,U.S.,,,2,L,4,,,5,14.9,,129.8,163.1,388.8,0.95,0.95,9.9,2/22/2021,11,FH4,FH4,,DLC,,,,,,,,,,,1,XBO
2014 HSV GEN-F GTS,HSV GEN-F GTS,2014,HSV,GEN-F GTS,Autoshow,,,,75000,Rare,,Modern Muscle,Factory,A,721,7,5.5,4.8,4,4.5,4.8,577,545,4147,7.19,53,6162,PDS,V,8,F,RWD,275,no,Forza,"640, 700",,,none,eng,Europe,Australia,,,4,R,4,,,4.353,9.66,12.53,191,159.7,372,0.89,0.9,5.307,9/27/2016,9,FH5,FH3,FH5,FH4,FM7,FH3,,,,,,,,,4,XBO
2014 HSV Limited Edition Gen-F GTS Maloo,HSV Maloo '14,2014,HSV,Limited Edition Gen-F GTS Maloo,Autoshow,,,,62000,Common,,Vans & Utility,Factory,A,742,6.5,5.5,4.8,4.6,4.8,4.4,577,545,4034,6.99,55,6162,PDS,V,8,F,RWD,275,no,Roo bars,"640, 700",,,none,eng,Europe,Australia,,,2,R,4,,,4.112,9,12.617,174.6,159.3,365.6,0.92,0.93,4.888,9/27/2016,9,FH5,FH3,FH5,FH4,FM7,FH3,,,,,,,,,4,XBO
2011 HSV GTS,HSV GTS,2011,HSV,GTS,Exclusive,,,,250000,Rare,,Modern Muscle,Factory,A,713,7.2,6.1,6.2,7.6,6.1,,437,405,4068,9.31,53,6162,NA,V,8,F,RWD,275,Both,Forza,"640, 850",713,724,"TT, PDS, CS",stock,Europe,Australia,,,4,R,4,,,4.815,11.2,,175.3,170,390.1,0.88,0.9,6.385,,4,FH4,FM4,,cu,FM7,,FM6,,FM5,,DLC,,,,5,XBO
1996 HSV GTSR,HSV GTSR,1996,HSV,GTSR,Exclusive,,,,250000,Rare,,Retro Muscle,Factory,B,669,6.7,6.1,5.9,7.5,5.3,,308,350,3591,11.66,56,5737,NA,V,8,F,RWD,235,Both,Forza,"415, 640",,,"TT, PDS",stock,Europe,Australia,,,4,R,4,,,5.6,13.9,,158.4,186.8,440,0.86,0.91,8.3,12/6/2016,9,FH4,FH3,,cu,FM7,DLC,,,,,,,,,3,XBO
1952 Hudson Hornet,Hudson Hornet,1952,Hudson,Hornet,Exclusive,,,,66000,Rare,,Rods and Customs,Factory,D,305,5,4.2,4.8,6.5,4.3,,160,260,3550,22.19,54,5049,NA,V,6,F,RWD,185,Yes,Forza,"415, 640, 485, 700",305,325,PDS,stock,N. America,U.S.,,,2,L,4,,,12.1,39.979,,110.9,208.4,504.7,0.7,0.69,27.879,,4,FH4,FM4,,cu,,,,,,,DLC,,,,2,XBO
2006 Hummer H1 Alpha,Hummer H1,2006,Hummer,H1 Alpha,Autoshow,,,,112000,Rare,,Pickups & 4x4s,Factory,D,354,4.2,2.9,2,2.5,2.4,8.6,300,520,8114,27.05,52,6599,T,V,8,F,AWD,315,no,bars,"415, 475, 640, 700, 800, 850, 1750",,,none,eng,N. America,U.S.,,,5,L,4,,"DVG, OR, ?HH",13,45,17.033,120.4,154.8,400,0.79,0.78,32,5/13/2011,4,FH5,FM4,FH5,HTF,FM7,FH3,FM6,FH2,DLC,,FM4,,,,8,XBO
2006 Hummer H1 Alpha Open Top,Hummer Open Top,2006,Hummer,H1 Alpha Open Top,Exclusive,,,,250000,Rare,,Offroad,Factory,D,382,5.1,5.4,4.1,6.5,5,,300,525,7558,25.19,50,6599,T,V,8,F,AWD,315,no,bars,"415, 640, 700, 850",378,382,none,eng,N. America,U.S.,,Yes,4,L,4,,HH,10.6,38.017,,113.9,222.8,483.7,0.82,0.82,27.417,,5,FH4,FH1,,cu,,,,,,DLC,,,,,2,XBO
2019 Hyundai Veloster N,Veloster N,2019,Hyundai,Veloster N,"WS, Seasonal",,,,30000,Epic,,Super Hot Hatch,Factory,B,645,6,5.4,4.5,4.7,3.7,5,275,260,3106,11.29,64,1998,T,Inline,4,F,FWD,235,no,Forza,300,,,none,eng,Asia,Korea,,,3,L,4,,,6.218,15.119,13.817,165.6,135.3,347.6,0.91,0.91,8.901,,10,FH5,FM7,FH5,FH4,cu,,,,,,,,,,3,XBO
2019 Hyundai Veloster Turbo,,2019,Hyundai,Veloster Turbo,,,,,,,,Modern Hot Hatch,Factory,D,381,5.6,4.6,6.5,,4.4,,201,195,2899,14.42,62,,T,Inline,4,F,FWD,,,,,,,,eng,Asia,Korea,,,3,L,4,,,6,14.6,15.4,160.8,150.7,338.2,1.07,1.05,8.6,1/16/2018,10,FM7,FM7,,,cu,,,,,,,,,,1,XBO
2013 Hyundai Genesis Coupe,,2013,Hyundai,Genesis Coupe,,,,,,,,Sports,Factory,B,414,,,,,,,348,295,3563,10.24,,,,,6,F,RWD,,,,,,,,,Asia,Korea,,,3,L,4,,,,,,,,,,,,10/23/2012,5,FH1,FH1,,,,,,,,FH1,,,,,1,360
2013 Hyundai Genesis Coupe 3.8 Track,Hyundai Genesis,2013,Hyundai,Genesis Coupe 3.8 Track,,,,,,,,Asian Sports Cars,Factory,B,698,6.7,6.4,7.7,7.3,6.9,,348,295,3433,9.86,56,3778,NA,V,6,F,RWD,,,,,,,,stock,Asia,Korea,,,2,L,4,,,5.3,13.2,,179.7,136.4,334.8,1.09,1.05,7.9,,4,FH3,FM4,,,,FH3,FM6,FH2,FM5,,DLC,,,,5,XBO
2013 Hyundai Veloster Turbo,Veloster Turbo,2013,Hyundai,Veloster Turbo,,,,,,,,Modern Hot Hatch,Factory,D,343,5.5,4.4,6.3,,4.1,,201,195,2767,13.77,64,,T,Inline,4,F,FWD,,,,,,,,eng,Asia,Korea,,,3,L,4,,,7.5,20,14.983,145.9,150.6,342.8,1.06,1,12.5,,4,FM7,FM4,,,FM7,,FM6,FH2,FM5,,cu,,,,5,XBO
2011 Hyundai #67 Rhys Millen Racing Veloster,,2011,Hyundai,#67 Rhys Millen Racing Veloster,,,,,,,,Hatch,Race,S,693,,,,,,,500,600,2866,5.73,,,,,4,F,AWD,,,,,,,,,Asia,Korea,,,3,L,4,,,3.1,,,147.1,,,,,,,4,FM4,FM4,,,,,,,,,cu,,,,1,360
2011 Hyundai ix20,,2011,Hyundai,ix20,,,,,,,,City,Factory,F,114,,,,,,,89,101,2795,31.4,,,,,4,F,FWD,,,,,,,,,Asia,Korea,,,5,L,4,,,12.5,,,104.6,,,,,,5/13/2011,4,FM4,FM4,,,,,,,,,FM4,,,,1,360
2010 Hyundai Forza 3 Genesis Coup,,2010,Hyundai,Forza 3 Genesis Coup,,,,,,,,Coupe,Upgraded,R2,856,,,,,,,663,638,2400,3.62,,,,,,F,RWD,,,,,,,,,Asia,Korea,,,,L,4,,,,,,,,,,,,,3,FM3,FM3,,,,,,,,,,cu,,,1,360
